"일별보고서_ampm(2022.10.01.~2022.10.31.),bower22"
"일별","요일별","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)","평균노출순위","전환수","전환율(%)","전환당비용(원)","전환매출액(원)","광고수익률(%)"
"2022.10.03.","월요일","1,676","5","0.3","2,941","14,707","2.8","0","0","0","0","0"
"2022.10.04.","화요일","5,618","39","0.7","2,236","87,208","3.6","0","0","0","0","0"
"2022.10.05.","수요일","4,909","36","0.74","2,367","85,195","3.6","0","0","0","0","0"
"2022.10.06.","목요일","6,794","41","0.61","2,083","85,393","3.6","0","0","0","0","0"
"2022.10.07.","금요일","6,355","45","0.71","1,829","82,302","3.7","0","0","0","0","0"
"2022.10.11.","화요일","5,913","44","0.75","1,940","85,349","3.4","0","0","0","0","0"
"2022.10.12.","수요일","5,121","46","0.9","1,886","86,768","3.4","0","0","0","0","0"
"2022.10.13.","목요일","5,832","35","0.61","2,440","85,404","3.3","0","0","0","0","0"
"2022.10.14.","금요일","8,663","58","0.67","1,695","98,296","3.3","0","0","0","0","0"
"2022.10.17.","월요일","7,213","49","0.68","1,713","83,919","3.4","0","0","0","0","0"
"2022.10.18.","화요일","3,663","33","0.91","2,570","84,810","3.5","0","0","0","0","0"
"2022.10.19.","수요일","5,954","53","0.9","1,639","86,867","3.5","0","0","0","0","0"
"2022.10.20.","목요일","6,890","38","0.56","2,221","84,414","3.6","0","0","0","0","0"
"2022.10.21.","금요일","5,962","50","0.84","1,689","84,469","3.5","0","0","0","0","0"
"2022.10.24.","월요일","6,799","53","0.78","1,837","97,350","3.5","0","0","0","0","0"
"2022.10.25.","화요일","6,959","46","0.67","1,938","89,166","3.3","0","0","0","0","0"
"2022.10.26.","수요일","6,231","39","0.63","2,261","88,187","3.3","0","0","0","0","0"
"2022.10.27.","목요일","6,064","45","0.75","2,123","95,513","3.4","0","0","0","0","0"
"2022.10.28.","금요일","4,990","39","0.79","2,183","85,129","3.4","0","0","0","0","0"
"2022.10.31.","월요일","6,517","45","0.7","1,838","82,709","3.4","0","0","0","0","0"
